profession,social_media_sleep,mood_disorder,content_type_social_media,think_time_instagram,think_time_whatsapp,think_time_twitter,think_time_facebook,think_time_youtube,think_time_linkedin,actual_time_instagram,actual_time_whatsapp,actual_time_twitter,actual_time_facebook,actual_time_youtube,actual_time_linkedin,focus_quality,binge_watch_reels,sad_content_feed,social_media_purpose,social_relationship_impact,time_loss_social_media,sleep_quality_general,refreshed_after_social_media,anxious_stressed,compare_with_others,headaches_eyestrain,trouble_sleeping_month,sleep_quality_month,social_media_before_bed,nervous_anxious,smartphone_discomfort
0,3,4,10,4,1,4,4,2,4,4,1,4,4,1,4,3,4,5,35,5,4,5,1,1,5,1,1,5,0,2,1
0,4,2,22,2,2,4,4,1,4,2,2,4,4,1,4,4,3,1,28,3,4,4,1,0,3,0,2,5,0,2,2
0,1,1,4,2,2,0,0,2,0,2,2,0,0,2,0,1,2,2,83,3,4,4,1,0,1,0,3,4,1,3,3
0,2,3,27,4,4,4,4,3,4,4,4,4,4,2,4,1,1,3,84,3,4,4,0,1,2,1,1,4,1,1,2
7,5,5,26,0,1,1,1,1,1,0,0,4,4,4,4,5,4,5,83,5,4,2,0,1,4,1,4,4,1,4,4
0,1,5,43,4,4,4,4,3,4,4,4,4,4,3,4,1,1,1,10,1,3,5,1,0,1,0,1,5,1,1,5
0,5,5,50,2,3,4,4,2,4,2,2,4,4,2,4,5,4,4,79,2,4,5,0,1,1,1,3,3,1,3,3
7,5,5,4,4,1,4,4,4,4,4,4,4,4,4,4,5,4,1,43,5,4,5,0,1,1,1,1,3,0,1,1
0,1,2,10,4,4,4,4,1,4,4,4,4,4,1,4,1,1,1,46,2,4,5,1,0,2,0,2,1,1,2,5
0,3,1,4,4,2,4,4,2,4,4,2,4,4,2,4,5,3,2,23,3,4,3,1,1,3,1,3,3,1,3,3
0,4,3,10,2,2,4,4,3,4,2,3,4,4,3,4,1,3,4,59,3,4,5,1,0,3,0,1,5,1,4,3
0,3,3,4,4,3,4,4,1,4,4,3,4,4,2,4,4,1,4,22,1,4,5,0,0,1,0,1,5,0,1,1
6,2,1,49,2,0,2,2,2,2,1,0,1,1,1,1,3,1,1,44,3,4,4,0,1,2,0,2,2,0,3,2
0,1,1,4,3,4,4,4,3,4,3,4,4,4,3,4,1,1,1,22,1,4,2,1,1,1,1,1,1,0,1,1
0,2,3,10,0,0,4,4,0,4,2,2,4,4,4,4,2,3,2,60,2,3,2,0,1,2,0,3,2,1,3,3
0,1,1,10,2,3,2,0,1,4,4,3,1,2,3,0,1,1,1,46,2,3,1,0,1,1,1,4,2,1,5,1
0,1,1,30,2,1,4,4,2,4,2,2,4,4,1,4,3,1,5,49,1,4,3,1,1,3,1,2,4,1,5,4
0,1,1,10,1,0,3,4,2,1,1,0,2,4,1,0,2,3,1,59,1,4,4,0,0,5,1,4,4,1,1,3
0,3,4,30,4,3,3,4,2,4,4,3,3,4,2,4,4,3,5,77,2,4,3,0,1,3,1,3,3,1,5,3
0,3,3,44,4,3,4,4,4,4,4,3,4,4,4,4,4,3,1,23,3,4,5,0,0,1,0,1,5,1,3,1
0,1,2,10,2,2,3,2,4,2,2,2,4,3,2,4,2,2,2,46,2,4,2,1,0,2,1,2,2,1,2,2
0,5,5,31,3,4,3,4,3,4,4,3,4,3,4,3,2,2,4,46,2,4,2,0,0,1,0,2,3,1,1,1
7,5,5,44,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,43,5,4,5,1,0,5,0,1,5,1,1,1
0,1,1,51,2,2,4,4,2,2,2,2,4,4,2,2,1,1,1,3,1,3,5,1,0,1,0,5,1,1,1,1
0,1,1,47,4,3,4,4,1,4,4,4,4,4,2,4,1,1,1,6,1,3,5,0,0,1,0,1,5,0,1,1
0,3,1,4,4,4,4,4,2,4,4,4,4,4,2,4,3,3,3,16,3,4,4,1,0,1,1,3,4,1,1,4
0,2,1,12,4,4,4,4,1,4,4,4,4,4,1,4,2,1,3,7,3,4,4,0,0,3,1,2,4,1,1,2
3,5,5,4,2,1,4,4,2,4,2,1,4,4,2,4,5,4,5,9,1,4,4,0,1,1,1,1,3,0,1,1
0,1,3,15,3,4,4,4,0,4,4,4,4,4,2,4,1,1,1,78,1,3,5,1,0,1,1,1,5,1,1,2
0,2,1,44,4,2,4,4,0,4,4,4,4,4,0,4,1,1,5,43,3,4,3,0,0,3,0,1,5,0,1,1
0,4,4,30,4,1,4,4,1,4,4,2,4,4,1,4,3,2,3,30,2,4,5,0,0,1,1,1,5,0,1,1
0,5,3,54,3,3,4,4,4,4,3,3,4,4,4,4,3,2,2,49,3,4,3,1,0,2,0,2,2,0,3,3
